directors,rate,title,cover,detailLink,casts,year,type,country,lang,time,moveTime,comment_len,starts,summary,comments,imgList,movieUrl
戴墨,7.8,三大队,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2901703469.jpg,https://movie.douban.com/subject/35208463/,"张译,李晨,魏晨,曹炳琨,王骁,张子贤,杨新鸣,陈创,黄璐,艾丽娅,张新成,高叶,张本煜,王雨甜,王双宝,张祎曈,冯兵,董向荣,李妍锡,徐冬冬,马千壹,陈昊,张磊,宁晓志,刘頔,郜玄铭,黄婷,盛梓航,韩静 ,赖维佳",2023,"剧情,犯罪", 中国大陆, 汉语普通话,2023-12-15,132,98853,"22.6%,48.0%,25.6%,3.2%,0.7%",刑侦大队队长程兵（张译 饰）带领的三大队在办理一起恶性案件的过程中导致嫌犯之一意外死亡，被判入狱。出狱后依然坚持以普通人身份追踪在逃嫌犯。,"[{""user"": ""insights"", ""star"": ""50"", ""time"": ""2023-11-04 00:35:02"", ""content"": ""\u4e5f\u8bb8\u6211\u6c38\u8fdc\u4e0d\u4f1a\u6210\u4e3a\u7a0b\u5175\uff0c\u4f46\u662f\u6211\u77e5\u9053\u8fd9\u4e2a\u793e\u4f1a\u9700\u8981\u7a0b\u5175\u3002""}]","https://img3.doubanio.com/view/photo/sqxs/public/p2900425093.jpg,https://img3.doubanio.com/view/photo/sqxs/public/p2901992292.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2901934619.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2901934615.jpg",https://vt1.doubanio.com/202402052144/701627517a857341db7445b0b51c0999/view/movie/M/703130745.mp4
吕克·贝松,8.2,狗神,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2901534046.jpg,https://movie.douban.com/subject/35736202/,"卡莱伯·兰德里·琼斯,克里斯托弗·邓汉,马里莎·贝伦森,克雷蒙斯·施伊克,迈克尔·加尔扎,乔尼卡·T·吉布斯,约翰·查尔斯·阿吉拉尔,埃文特·斯特朗,德里克·肖,詹姆斯·佩顿,埃里克·卡特,安布里特·米尔豪斯,本尼特·萨尔茨曼,奈玛·赫布拉尔·基乔",2023,剧情, 法国 / 美国, 英语 / 西班牙语,2023-12-15,114,46182,"33.5%,44.8%,18.9%,2.4%,0.4%",落雨之夜，一辆卡车被警方逼停。驾驶室内坐着一名满身伤痕疲惫不堪的女子，可凑近却发现对方竟是个男人。男人的车上拉着上百条狗，种种诡异情况迫使警方将男人带回警局。男人自称名叫道格（卡莱伯·兰德里·琼斯 Caleb Landry Jones 饰），在他看来，狗如同家人，对人类有着无与伦比的信赖。他出生于一个暴戾的家庭，父亲驯养用于搏杀取乐的狗，他对这个软弱且同情心泛滥的儿子充满鄙夷，甚至将他关在狗笼里自我反省。轰然一枪截断了父子最后的羁绊，也让道格走上了与狗为伴的不归路。此后的岁月，他品味人世苦辣辛酸，曾经渴望爱情，也曾经试图融入社会。但是最后却发现，这个世界没有容纳他的位置。,"[{""user"": ""\u8e6d\u70df\u7684\u5409\u6069"", ""star"": ""40"", ""time"": ""2023-12-10 15:44:24"", ""content"": ""\u5bfc\u6f14\u4eb2\u53e3\u7206\u6599\uff1a6\u4f4d\u4e13\u4e1a\u72d7\u72d7\u6f14\u5458\u4e0d\u5c51\u4e8e\u548c\u53e6\u5916120\u4f4d\u7fa4\u6f14\u72d7\u72d7\u6f14\u5458\u73a9\u800d""}]","https://img3.doubanio.com/view/photo/sqxs/public/p2901853467.jpg,https://img3.doubanio.com/view/photo/sqxs/public/p2901536752.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2899217790.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2901853470.jpg",https://vt1.doubanio.com/202402052144/4fbfa0e39f08fe2e64823c68d900f816/view/movie/M/703130773.mp4
托马·卡耶,7.5,动物王国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2902844121.jpg,https://movie.douban.com/subject/35779956/,"罗曼·杜里斯,保罗·基尔舍,阿黛尔·艾克萨勒霍布洛斯,汤姆·梅西耶,Billie Blain,泽维尔·奥贝尔,莎迪娅·本太耶布,Gabriel Caballero,Iliana Khelifa,Paul Muguruza,Maëlle Benkimoun,娜塔莉·理查德,Tom Rivoire,Francois-Xavier Raffier,Florence Deretz,Louise Lehry,Jean Boronat,Nicolas Avinée,塞巴斯蒂安·博伊萨维特,Anwar El Kadi",2023,"科幻,冒险", 法国, 法语,2023-05-17,130,214,"19.2%,46.2%,27.9%,5.3%,1.4%",近未来，神秘症状在人群间扩散，恐惧在空气中曼延。原因不明，只知感染者初期会产生骨骼变异，身体长出毛皮或鳞片，原有人类特质将逐步退化。政府束手无策，只能强制收管已兽化的感染者。方苏瓦深信挚爱的妻子还在那张突变的面孔底下，无论她被转到多远的收容所，他都带着青春期的儿子艾米搬迁跟随。尝试融入新班级的艾米，却意外发现身体也出现了难以启齿的变化⋯⋯,"[{""user"": ""\u6797\u6587\u6e05"", ""star"": ""50"", ""time"": ""2023-10-16 05:16:13"", ""content"": ""\u4e00\u5929\u4e4b\u5185\u5728\u5927\u94f6\u5e55\u4e0a\u770b\u5230\u4e24\u90e8\u4ee4\u6211\u6d41\u6cea\u7684\u7535\u5f71\uff0c\u6211\u771f\u662f\u4e00\u4e2a\u5e78\u798f\u7684\u4eba\u3002@Mayhem2023""}]","https://img1.doubanio.com/view/photo/sqxs/public/p2898364649.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2892173656.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2890622586.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2892173649.jpg",https://vt1.doubanio.com/202402052144/5bb594d482be7901fc325c9890d1dcd5/view/movie/M/403120848.mp4
靳家骅,7.1,小晓,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2898906860.jpg,https://movie.douban.com/subject/35942301/,"林品彤,陈意涵,刘俊谦,郑志伟,郑逸轩,郑有杰,刘冠廷,施名帅,蔡亘晏,朱芷莹",2023,剧情, 中国台湾, 汉语普通话,2023-12-08,103,154,"15.5%,33.8%,42.4%,6.6%,1.7%",小晓（林品彤 饰）是一位活在自己世界的女孩，因为一个令人揪心的秘密，她在学校被同学霸凌孤立，妈妈薇芳（陈意涵 饰）也视她为麻烦，在国外长期工作的爸爸更像既熟悉又遥远的陌生人，唯有班导保罗（刘俊谦 饰）仿佛能理解并舒缓她 的情绪。一次台风天下课，小晓目睹了妈妈与班导的秘密，困惑的她不仅必须强迫自己适应这个复杂的情感关系，也逐渐发现原来她与妈妈都有各自对生活说不出的无奈……,"[{""user"": ""\u97f6\u989c"", ""star"": ""50"", ""time"": ""2023-11-12 16:15:05"", ""content"": ""\u91d1\u9a6cNo.8\r\u4e0d\u77e5\u9053\u4f1a\u4e0d\u4f1a\u662f\u6211\u6700\u559c\u6b22\u7684\u7535\u5f71\uff0c\u81f3\u5c11\u662f\u8fd9\u4e2a\u5468\u672b\u6700\u559c\u6b22\u7684\u3002\u60f3\u5199\u70b9\u4ec0\u4e48\u3002""}]","https://img3.doubanio.com/view/photo/sqxs/public/p2901538922.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2903697045.jpg,https://img3.doubanio.com/view/photo/sqxs/public/p2903697042.jpg,https://img3.doubanio.com/view/photo/sqxs/public/p2888118393.jpg",https://vt1.doubanio.com/202402052144/b5fff2cc48cd7eaf689f706a344c4f96/view/movie/M/403120831.mp4
丹尼·伯恩,6.7,真正的生活,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2903806249.jpg,https://movie.douban.com/subject/35699938/,"丹尼·伯恩,凯德·麦拉德,夏洛特·甘斯布,Maxime Gasteuil,卡罗琳·安格鲁德,奥萝尔·克莱芒,加埃尔·拉埃,Sarah Boon,Maybelle Billa Snodgrass,塔蒂安娜·古瑟夫,Marin Judas,Julie Farenc,Mathieu Madénian,Antonia de Rendinger,Dan Cohen,Patrick Boshart,Valérie Crouzet,Luc Van Grunderbeeck,Isadora Moya,France Darry",2023,"喜剧,爱情", 法国 / 比利时, 法语,2023-04-19,110,101,"14.6%,24.5%,46.7%,10.3%,3.8%","Tridan Lagache a passé sa vie au Club Med, à changer d’amis tous les 8 jours. À 50 ans, il démissionne du club de vacances mexicain où il est né, bien décidé à retrouver, 42 ans plus tard, son grand amour d’enfance, Violette.","[{""user"": ""\u80d6\u4e01\u6843"", ""star"": ""30"", ""time"": ""2023-09-27 16:55:39"", ""content"": ""\u6cd5\u56fd\u7537\u7684\u4e5f\u633a\u4f1aYY\u7684""}]","https://img2.doubanio.com/view/photo/sqxs/public/p2902761431.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2902761430.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2902761429.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2902761428.jpg",https://vt1.doubanio.com/202402052144/97df906260c23a57cb1f6d94ee52a0f1/view/movie/M/403030191.mp4
是枝裕和,8.6,怪物,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2890005059.jpg,https://movie.douban.com/subject/35797709/,"安藤樱,永山瑛太,黑川想矢,柊木阳太,角田晃广,黑田大辅,森冈龙,北浦爱,片山萌美,野吕佳代,高畑充希,中村狮童,田中裕子",2023,剧情, 日本, 日语,2023-05-17,125,52386,"47.9%,37.5%,12.3%,1.6%,0.6%",平静的湖畔小镇，疼爱儿子的单亲妈妈早织（安藤樱 饰）、为学生着想的爽直老师保利 （永山瑛太 饰）以及天真烂漫的孩子们本过着安稳的生活，却因为一次校园冲突，发酵酿成轩然大波，惹起社会与媒体的关注。当事态越见严重，竟在一个暴风雨的清晨，两个孩子双双失去了踪影……,"[{""user"": ""\u75af\u997c\u5e72"", ""star"": ""40"", ""time"": ""2023-06-03 13:58:01"", ""content"": ""\u8001\u5e08\u6ca1\u60f9\u4f60\u4eec\u4efb\u4f55\u4eba""}]","https://img3.doubanio.com/view/photo/sqxs/public/p2887662202.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2890668059.jpg,https://img3.doubanio.com/view/photo/sqxs/public/p2890594903.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2895441555.jpg",https://vt1.doubanio.com/202402052144/f58e43606dc383bc29629af6fcc73d5d/view/movie/M/403040824.mp4
温子仁,6.4,海王2：失落的王国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2900515564.jpg,https://movie.douban.com/subject/30444942/,"杰森·莫玛,帕特里克·威尔森,叶海亚·阿卜杜勒-迈丁,安珀·赫德,妮可·基德曼,兰道尔·朴,特穆拉·莫里森,杜夫·龙格尔,马丁·肖特,赵嘉妮,茵蒂娅·摩尔,文森特·里根,皮鲁·埃斯贝克,英格丽·温",2023,"动作,科幻,奇幻,冒险", 美国, 英语,2023-12-20,124,57309,"6.6%,25.2%,51.5%,14.2%,2.4%",曾经不修边幅的亚瑟·库瑞（杰森·莫玛 Jason Momoa 饰），经过了一番磨难和艰苦拼杀之后，终于成为亚特兰蒂斯万众瞩目的海王。如今的他养尊处优，生活富足，与湄拉（安珀·赫德 Amber Heard 饰）婚姻幸福，并且育有一个可爱的儿子。当然高高在上的日子也充满无聊和枯燥，直到某一天，贼心不死的黑蝠鲼（叶海亚·阿卜杜勒-迈丁 Yahya Abdul-Mateen II 饰）找到了传说的黑三叉戟，旋即展开针对亚特兰蒂斯的报复。在冲突中，湄拉遭到重伤。在母亲（妮可·基德曼 Nicole Kidman 饰）的建议下，亚瑟找回了被自己亲手打败并流放的弟弟奥姆王（帕特里克·威尔森 Patrick Wilson 饰）。,"[{""user"": ""\u5927\u806a"", ""star"": ""30"", ""time"": ""2023-12-20 08:07:50"", ""content"": ""\u8fd9\u6700\u7ec8\u53cd\u6d3e\u548c\u6743\u6e38\u7684\u591c\u738b\u662f\u62dc\u628a\u5b50\u5144\u5f1f\u5417\uff1f\uff01""}]","https://img9.doubanio.com/view/photo/sqxs/public/p2698917315.jpg,https://img3.doubanio.com/view/photo/sqxs/public/p2898098187.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2898098199.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2898098155.jpg",https://vt1.doubanio.com/202402052144/d4e347837465173a6cec895b9a3e8706/view/movie/M/703130855.mp4
大卫·阿耶,6.2,养蜂人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2902861438.jpg,https://movie.douban.com/subject/35579652/,"杰森·斯坦森,乔什·哈切森,杰瑞米·艾恩斯,艾美·拉韦尔-兰普曼,鲍比·纳德利,大卫·威茨,米迦勒·埃普,泰勒·詹姆斯,菲利西亚·拉斯海德,吉玛·雷德格里夫,明妮·德里弗,唐·吉尔特,索菲亚·费里西亚诺,恩佐·科伦蒂,梅根·乐,李丹,乔治娅·古德曼,德里克·肖,杰·林康,科乔·阿塔",2024,"动作,惊悚", 美国 / 英国, 英语,2024-01-12,105,14301,"6.4%,20.5%,51.7%,17.8%,3.6%",克莱（杰森·斯坦森 Jason Statham 饰）在乡下养蜂，平静度日。与其交好的房东奶奶帕克（菲利西亚·拉斯海德 Phylicia Rashad 饰），被一场网络诈骗卷走了所有慈善筹款，崩溃自杀。克莱获悉真相后，孤身勇闯诈骗集团复仇。追查中，克莱挖出诈骗团伙背后盘根错节的利益集团，面临疯子特工、权势财团、FBI的接连围剿，游离法律之外的暗卫组织“养蜂人”也牵扯其中，克莱的真实身份也浮出水面。克莱能否凭一己之力对抗滔天罪恶？新的“疯暴”正在袭来……,"[{""user"": ""\u770b\u98ce\u666f\u7684\u4eba"", ""star"": ""50"", ""time"": ""2024-01-12 20:39:51"", ""content"": ""\u6211\u5c31\u662f\u8981\u8fd9\u6837\u7684\u723d\u7247\u3002\u4e0d\u5408\u7406\u6211\u90fd\u80fd\u63a5\u53d7\u3002\u91cc\u9762\u6700\u4e0d\u559c\u6b22\u7684\u662f\u73b0\u4efb\u517b\u8702\u4eba\u8ddf\u4e2a\u4e2d\u4e8ccoser\u4f3c\u7684\u3002\u4e00\u5ea6\u597d\u611f\u76f4\u7ebf\u4e0b\u964d\u3002\u4f46\u4ee5\u66b4\u5236\u66b4\u5c31\u662f\u90a3\u4e48\u5feb\u4e50\u3002\u4e8b\u4e3b\u6210\u4e86\u4e13\u95e8\u6361\u6f0f\u7684,\u6ed1\u7a3d\u3002\u611f\u89c9\u6b7b\u7684\u771f\u4e0d\u662f\u81ea\u5df1\u4eb2\u4eba\ud83e\udee0""}]","https://img3.doubanio.com/view/photo/sqxs/public/p2903144507.jpg,https://img3.doubanio.com/view/photo/sqxs/public/p2902863673.jpg,https://img3.doubanio.com/view/photo/sqxs/public/p2902873567.jpg,https://img3.doubanio.com/view/photo/sqxs/public/p2903143987.jpg",https://vt1.doubanio.com/202402052144/6a60addb0e9622d9157a8def0041ebb8/view/movie/M/703140070.mp4
许明行,5.7,荒野,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2903276881.jpg,https://movie.douban.com/subject/35752369/,"马东锡,李熙俊,李濬荣,卢正义",2024,"动作,科幻,悬疑,惊悚", 韩国, 韩语,2024-01-26,107,3847,"5.2%,12.5%,50.2%,25.8%,6.3%",在首尔变成一片末日荒野数年后，一名坚韧猎人所亲近的少女被进行人体实验的疯狂医生绑架，他于是前去解救。,"[{""user"": ""\u4e0d\u7559\u75d5\u8ff9"", ""star"": ""20"", ""time"": ""2024-01-26 15:34:05"", ""content"": ""\u4e00\u76f4\u5728\u7b49\u5b54\u5218\u4e0a\u7ebf\uff0c\u53ef\u60dc\u6ca1\u7b49\u5230""}]","https://img3.doubanio.com/view/photo/sqxs/public/p2903286557.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2903756936.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2903756929.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2903286556.jpg",https://vt1.doubanio.com/202402052144/4add6f7e0a81001176fb598512ca9586/view/movie/M/703140459.mp4
茹斯汀·特里耶,8.5,坠落的审判,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2902557922.jpg,https://movie.douban.com/subject/35633650/,"桑德拉·惠勒,斯万·阿劳德,米洛·马查多·格拉纳,安托万·赖纳茨,塞缪尔·泰斯,珍妮·贝丝,梅西,莎迪娅·本太耶布,卡米莉·拉瑟福德,安妮·罗特格,索菲亚·菲力瑞斯,朱利安·孔德,皮埃尔·弗朗索瓦·加雷尔,萨凡纳·罗尔,伊利斯·卡德里,文森特·库塞勒-拉布鲁斯,塞西尔·布鲁内-吕德,内斯琳·斯拉维,安托万·布埃诺,安妮·莉丝·海姆伯格",2023,"剧情,家庭", 法国, 法语 / 英语 / 德语,2024-03-29,151,43432,"38.7%,49.2%,11.1%,0.8%,0.2%",Sandra、Samuel以及他们视力有障碍的儿子Daniel在偏远山区生活了一年。一天，Samuel在房子外面被发现死亡，警方立即展开了涉嫌命案的调查。在不确定的情况下，Sandra被控：这是自杀还是谋杀？一年后，Daniel参加了母亲的审判，这也是对他父母关系的真正剖析。,"[{""user"": ""FryourBalcony"", ""star"": ""40"", ""time"": ""2023-10-16 03:41:16"", ""content"": ""1. \u540c\u610f\u5728\u4efb\u4f55\u4e00\u6bb5\u5173\u7cfb\u91cc\u90fd\u4e0d\u5e94\u8be5\u6709\u4e00\u65b9\u8ff7\u5931\u81ea\u6211\uff0c\u5e76\u4e14\u4e5f\u4e0d\u5e94\u8be5\u628a\u8d23\u4efb\u63a8\u5230\u53e6\u4e00\u65b9\u8eab\u4e0a\u3002\u6700\u91cd\u8981\u7684\u662f\u5728\u4e00\u5f00\u59cb\u5c31\u4e0d\u8981\u505a\u51fa\u727a\u7272\u81ea\u5df1\u7684\u51b3\u5b9a\u30022.\u5982\u679c\u628a\u7247\u4e2d\u592b\u59bb\u5904\u5883\u5bf9\u8c03\uff0c\u4f1a\u53d1\u73b0\u4e08\u592b\u7684\u5904\u5883\u5176\u5b9e\u662f\u73b0\u5b9e\u4e2d\u5927\u90e8\u5206\u7684\u5973\u6027\u6b63\u5728\u7ecf\u5386\u7684\u56f0\u5883\uff0c\u7136\u800c\u793e\u4f1a\u65e9\u5df2\u4e60\u60ef\u8fd9\u79cd\u5bf9\u5973\u6027\u7684\u65e0\u5f62\u538b\u8feb\u3002\u5f53\u53d7\u538b\u8feb\u8005\u53d8\u6210\u7537\u6027\uff0c\u5e76\u4e14\u4ed6\u4e3a\u6b64\u81ea\u6740\uff0c\u6240\u6709\u4eba\uff08\u5305\u62ec\u89c2\u4f17\uff09\u7684\u7b2c\u4e00\u53cd\u5e94\u90fd\u662f-\u4e0d\u53ef\u80fd\u3002""}]","https://img9.doubanio.com/view/photo/sqxs/public/p2893273436.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2893273438.jpg,https://img3.doubanio.com/view/photo/sqxs/public/p2890626552.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2891957229.jpg",https://vt1.doubanio.com/202402052144/2144f9686f893eaad9341ef9a7078ec3/view/movie/M/703140002.mp4
阿基·考里斯马基,7.9,枯叶,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2902743747.jpg,https://movie.douban.com/subject/35928797/,"阿尔玛·波斯蒂,尤西·瓦塔宁,詹恩·海蒂恩,努普·科伊武,阿里娜·汤姆尼科夫,马蒂·索萨洛,萨卡里·库斯曼嫩,什万·哈吉,保拉·奥伊诺宁,玛莉亚·海思坎恩,埃罗·里塔拉,西蒙·阿尔·巴祖,米科·米卡宁,安娜·卡贾莱宁,马蒂·奥尼斯马,米卡·尼坎德,劳里·温塔莫,凯萨·卡贾莱宁,米沙·贾里,阿尔玛",2023,"剧情,喜剧", 芬兰, 芬兰语,2024(中国大陆),81,7060,"21.2%,55.9%,21.0%,1.6%,0.2%",故事讲述两个孤独的人在赫尔辛基的夜晚偶然相遇，并试图找到彼此生命中的第一个，唯一且最终的爱。他们通往这个目标的道路被男人的酗酒、丢失的电话号码、不知道彼此名字或地址，以及生活总倾向于在那些寻求幸福的人的道路上设置障碍所笼罩。,"[{""user"": ""Ephemera"", ""star"": ""40"", ""time"": ""2023-09-17 10:05:59"", ""content"": ""TIFF23\uff5c\u8fd9\u4e2a\u4e16\u754c\u771f\u7684\u6ca1\u6551\u4e86\uff0c\u4f46\u5728\u6b64\u4e4b\u524d\uff0c\u8bf7\u8ba9\u6211\u4e3a\u4f60\u6717\u8bfb\u4e00\u5219\u5173\u4e8e\u67d0\u7537\u5b50\u5403\u4eba\u7684\u65b0\u95fb\u3002""}]","https://img9.doubanio.com/view/photo/sqxs/public/p2899638294.jpg,https://img3.doubanio.com/view/photo/sqxs/public/p2890638762.jpg,https://img3.doubanio.com/view/photo/sqxs/public/p2903609142.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2891690501.jpg",https://vt1.doubanio.com/202402052145/9e6a61b114f7e8f1f26e326a0e86f442/view/movie/M/403040390.mp4
林超贤,5.7,爆裂点,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2901058477.jpg,https://movie.douban.com/subject/36010136/,"张家辉,陈伟霆,梁洛施,谭俊彦,姜皓文,周秀娜,杨祐宁,戴耀明,黄又南,李凯贤,张颕康,朱鉴然,杨天宇,张文杰,丘梓谦,许恩怡,麦子乐,李文标,苏宸褕,周汉宁,施祖男,李明宪,温绍平,吴瑞庭,卢惠光,唐诗咏,张雷,张慧仪,胡子彤,黎峻,洪助升,张国强",2023,"动作,犯罪", 中国香港 / 中国大陆, 粤语 / 汉语普通话 / 日语,2023-12-08,138,22156,"7.4%,15.6%,41.5%,27.4%,8.1%",缉毒总督察李振邦（张家辉 饰）和卧底警员江铭（陈伟霆 饰）秘密执行追捕毒贩计划，无奈遭遇险境，江铭被迫游走黑白边缘，逐渐失控。为坚守底线，昔日队友互生杀意。猜忌、愤怒、疯狂、失望……全员丧失理智，濒临崩溃边缘！,"[{""user"": ""\u53d1\u6761\u6a59"", ""star"": ""40"", ""time"": ""2023-12-04 23:05:12"", ""content"": ""\u6740\u75af\u4e86\u6740\u75af\u4e86\uff0c\u8fd9\u56de\u662f\u5f7b\u5e95\u6740\u75af\u4e86\uff01""}]","https://img3.doubanio.com/view/photo/sqxs/public/p2901076652.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2901792188.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2901792010.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2889242650.jpg",https://vt1.doubanio.com/202402052145/df73fd4bb141de0dc78d50772b381c5f/view/movie/M/403130303.mp4
安德鲁·海格,7.5,都是陌生人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2898663295.jpg,https://movie.douban.com/subject/35955811/,"安德鲁·斯科特,保罗·麦斯卡,卡特·约翰·格劳特,杰米·贝尔,克莱尔·芙伊,Ami Tredrea,Cameron Ashplant,Lincoln R. Beckett,Jack Cronin,Christian Di Sciullo,Oliver Franks,Hussein Kutsi,Gsus Lopez,Jack Pallister,Guy Robbins,Darren Ryames,Zachary Timmis,Carolina Van Wyhe",2023,"剧情,同性,奇幻", 美国 / 英国, 英语,2023-08-31,105,2745,"19.8%,43.5%,30.5%,5.2%,0.9%",本片改编自山田太一的小说，讲述伦敦编剧亚当（安德鲁·斯科特 饰）偶然遇到了他的神秘邻居（保罗·麦斯卡 饰），之后亚当回到了童年的家中，他发现早已去世的父亲（杰米·贝尔 饰）和母亲（克莱尔·芙伊 饰）居然还活着——并且他们看起来和三十年前死去的那天一样的年纪。,"[{""user"": ""\u5403\u67e53000"", ""star"": ""40"", ""time"": ""2023-11-18 01:02:25"", ""content"": ""\u5173\u4e8e\u7761\u7720\u7684\u7535\u5f71\uff0c\u5c31\u50cfAftersun\u6216\u8005\u5f15\u89c1\u90a3\u6837\uff0c\u62e5\u6709\u7f8e\u68a6\u6216\u8005\u96be\u4ee5\u5165\u7720\u7684\u591c\u665a\uff0c\u5f00\u5934\u51e0\u955c\u52a0\u4e0a\u4f5c\u5bb6\u7684\u8eab\u4efd\uff0c\u5df2\u7ecf\u96be\u4ee5\u8fa8\u522b\u6bcf\u4e00\u4e2a\u955c\u5934\u7684\u865a\u5b9e\uff0c\u7535\u5f71\u7684\u9b54\u6cd5\uff0c\u4e0d\u5c31\u662f\u5de6\u773c\u89c1\u5230\u9b3c\uff0c\u4e3a\u4e0d\u53ef\u89c1\u4e4b\u4eba\u4e0d\u53ef\u8ff0\u4e4b\u4e8b\u62db\u9b42\uff0c\u53ef\u60dc\u7684\u662f\u4ea4\u5e95\u592a\u65e9\uff0c\u540e\u53c8\u7528\u529b\u8fc7\u731b(\u4f46\u662f\u503c\u5f97)\u3002\u6d77\u683c\u76f4\u63a5\u62ff\u4f4f\u4e86\u73b0\u4ee3\u751a\u81f3\u662f\u540e\u75ab\u60c5\u65f6\u4ee3\u4eba\u7c7b\u5b64\u72ec\u7684\u547d\u8fd0\u5e95\u8272\u548c\u5b58\u5728\u6027\u8ff7\u601d\uff0c\u5b83\u65e0\u5173\u8eab\u4efd\u5bb6\u53f2\uff0cLGBTQ\u8fd8\u662f\u5e73\u51e1\u8005\uff0c\u90fd\u662f\u964c\u751f\u4eba\uff0c\u4e00\u9897\u9897\u5bc2\u5bde\u7684\u661f\u661f\u3002""}]","https://img1.doubanio.com/view/photo/sqxs/public/p2897233780.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2896830451.jpg,https://img3.doubanio.com/view/photo/sqxs/public/p2899656303.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2902899748.jpg",https://vt1.doubanio.com/202402052145/c540c2b81f32446036c6e99aea526e82/view/movie/M/403100183.mp4
